rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
27,52.22,67.55,0.9299999999999998,443.6,265.29999999999995,58.36,21.49,-6.59,430.7,278.6,vitoria_mandante
27,56.68,118.82,7.899999999999999,507.8,247.9,44.75,27.16,-3.83,404.1,207.4,vitoria_mandante
27,52.55,42.0,-4.640000000000001,452.4,300.4,71.82,88.38,2.22,525.1,396.8,vitoria_visitante
27,54.1,24.0,-5.85,484.5,468.7,67.45,70.16,-4.5600000000000005,628.7,436.8,vitoria_visitante
27,55.53,100.05,8.92,489.0,193.4,49.03,26.51,-4.8,385.8,235.4,vitoria_mandante
27,38.94,52.8,2.32,286.8,298.5,58.46,59.8,4.79,452.1,431.1,empate
27,64.5,71.8,-0.0600000000000002,457.7,304.7,43.26,47.78,6.49,220.9,133.9,vitoria_mandante
27,58.5,38.95,-5.2,550.1,206.6,60.06,81.84,-4.81,453.0,287.8,vitoria_visitante
27,51.44,73.64,6.33,537.0,287.5,46.61,63.6,4.29,418.2,333.5,empate
27,60.58,77.8,4.12,500.5,404.3,55.05,53.45,-8.38,645.1,413.9,vitoria_mandante
