rodada_id,nome_clube_casa,nome_clube_visitante,placar_oficial_mandante,placar_oficial_visitante,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
4,Vasco,Crici?ma,0,4,45.370000000000005,33.4,-3.58,100.70000000000002,51.7,71.58,132.45,25.67,93.6,61.79999999999999,vitoria_visitante
4,Cuiab?,Atl?tico-MG,0,3,18.79,12.4,-4.8,25.3,18.3,67.73,81.17999999999999,-1.5700000000000005,116.3,117.4,vitoria_visitante
4,Flamengo,Botafogo,0,2,49.02,28.91,-10.36,97.9,65.9,61.12,74.53,1.9,122.9,60.7,vitoria_visitante
4,Cruzeiro,Vit?ria,3,1,46.69,70.49,4.56,130.20000000000002,33.09999999999999,36.06,22.36,-4.7,61.8,27.2,vitoria_mandante
4,Corinthians,Fluminense,3,0,81.3,123.62,20.26,92.8,95.0,52.91,27.16,-12.62,105.2,33.1,vitoria_mandante
4,Fortaleza,bragantino,1,1,53.94,47.56,1.4,74.5,33.5,55.89,36.0,-5.81,110.0,56.8,empate
4,Juventude,Athl?tico-PR,1,1,53.1,47.56,2.3800000000000003,96.8,62.99999999999999,67.37,46.69,-3.27,100.5,90.9,empate
4,Internacional,Atl?tico-GO,1,1,53.02,50.4,-1.35,112.0,68.9,20.2,29.02,-0.44,55.9,10.9,empate
4,Bahia,Gr?mio,1,0,62.22,77.8,4.800000000000001,100.8,58.99999999999999,42.19,18.65,-10.79,69.8,56.99999999999999,vitoria_mandante
4,S?o Paulo,Palmeiras,0,0,67.04,72.33,2.2,104.8,102.0,61.13,63.6,-3.37,65.10000000000001,130.10000000000002,empate
5,Fluminense,Atl?tico-MG,2,2,71.59,0,0.6299999999999999,155.7,58.8,79.63,0,-0.8700000000000001,178.1,144.4,empate
5,Bragantino,Flamengo,1,1,69.56,0,-3.35,153.8,82.5,54.2,0,-0.98,135.4,81.7,empate
5,Vit?ria,S?o Paulo,1,3,46.9,0,0.99,88.7,45.1,82.77,0,1.5400000000000005,180.2,115.9,vitoria_visitante
5,Athl?tico-PR,Vasco,1,0,87.06,0,12.39,172.8,155.0,52.31,0,-5.3,120.7,72.5,vitoria_mandante
5,Cuiab?,Palmeiras,0,2,33.03,0,-2.44,42.1,37.3,84.76,0,1.28,106.5,189.9,vitoria_visitante
5,Botafogo,Bahia,1,2,87.35,0,-6.61,198.1,92.8,61.68,0,-2.5500000000000003,132.9,75.3,vitoria_visitante
5,Corinthians,Fortaleza,0,0,95.4,0,3.1100000000000003,136.0,157.9,69.89,0,2.08,111.0,81.0,empate
6,Flamengo,Corinthians,2,0,61.0,115.11,15.25,153.5,131.2,58.38,30.0,-8.22,124.4,125.0,vitoria_mandante
6,Palmeiras,Athl?tico-PR,0,2,57.45,35.56,-9.01,121.0,143.2,80.9,76.05,-1.3300000000000003,175.5,189.8,vitoria_visitante
6,Atl?tico-GO,Cruzeiro,0,1,21.63,26.18,-0.0900000000000001,68.9,13.9,53.29,78.56,6.15,147.1,74.89999999999999,vitoria_visitante
6,Fortaleza,Botafogo,1,1,52.07,48.24,-1.64,115.7,74.0,56.95,46.8,-2.44,182.3,74.1,empate
6,Bahia,Bragantino,1,0,63.47,75.62,2.5200000000000005,154.2,119.9,45.23,32.18,-2.02,112.0,56.7,vitoria_mandante
6,Vasco,Vit?ria,2,1,50.0,74.42,8.79,144.3,84.2,34.08,40.15,1.5900000000000003,70.0,43.0,vitoria_mandante
6,S?o Paulo,Fluminense,2,1,68.39,49.22,-2.49,169.9,108.4,44.63,28.47,-6.78,107.6,58.1,vitoria_mandante
7,Vit�ria,Atl�tico-GO,0,2,38.59,23.67,-5.24,104.5,56.4,32.84,89.36,14.11,77.7,57.4,vitoria_visitante
7,Gr�mio,Bragantino,0,2,44.13,24.22,-4.41,86.2,74.0,59.12,102.56,12.77,155.9,122.3,vitoria_visitante
7,Cuiab�,Internacional,0,1,22.67,25.96,0.4399999999999998,38.1,33.8,64.03,67.98,0.6899999999999991,127.7,107.9,vitoria_visitante
