,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,KNN,SVM,Tree,RF,NB,,,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,TOTAL
Rodada 14,"0,7","0,5","0,5","0,7","0,4",,Rodada 14,1,1,1,0,1,0,1,1,0,0,6
Rodada 15,"0,7","0,8","0,7","0,8","0,9",,Rodada 15,1,1,1,0,0,0,1,0,0,0,4
Rodada 16,"0,625","0,75","0,5","0,875","0,875",,Rodada 16,1,1,1,1,1,0,1,0,0,1,7
Rodada 17,"0,833","0,833",1,1,1,,Rodada 17,0,1,0,0,0,0,1,0,0,0,2
Rodada 18,"0,6","0,9","0,8","0,8","0,7",,Rodada 18,0,1,1,0,0,0,1,0,0,1,4
Rodada 19,"0,333","0,5","0,667","0,833","0,833",,Rodada 19,0,1,0,0,0,0,1,0,0,0,2
Rodada 20,"0,6","0,7","0,7","0,7","0,9",,Rodada 20,0,1,1,0,0,0,1,0,0,0,3
Rodada 21,"0,5","0,4","0,6","0,6","0,4",,Rodada 21,0,1,1,0,0,0,1,0,0,0,3
Rodada 22,"0,5","0,6","0,8","0,7","0,9",,Rodada 22,0,1,1,0,0,0,1,1,0,0,4
Rodada 23,"0,2","0,7","0,5","0,7","0,7",,Rodada 23,0,1,1,0,0,0,1,1,0,0,4
Rodada 24,"0,889","0,778","0,778","0,889","0,667",,Rodada 24,1,1,1,0,1,0,1,1,0,1,7
Rodada 25,"0,6","0,9",1,1,1,,Rodada 25,0,1,0,0,0,0,1,0,0,0,2
Rodada 26,"0,5","0,8","0,7","0,7","0,9",,Rodada 26,0,1,0,0,0,0,1,0,0,0,2
Rodada 27,"0,5","0,9","0,9","0,9","0,8",,Rodada 27,1,1,1,0,0,0,1,1,0,1,6
Rodada 28,"0,7","0,8","0,9","0,9","0,9",,Rodada 28,0,1,1,0,0,0,1,1,0,0,4
Rodada 29,"0,3","0,9","0,7","0,8","0,9",,Rodada 29,0,1,1,0,0,0,1,1,0,0,4
Rodada 30,"0,5","0,7","0,6","0,7","0,6",,Rodada 30,1,1,1,0,0,1,1,1,0,0,6
Rodada 31,"0,333","0,75","0,833","0,833","0,833",,Rodada 31,0,1,0,0,0,0,1,0,0,0,2
Rodada 32,"0,556","0,778","0,778","0,778","0,889",,Rodada 32,1,1,1,0,0,1,1,1,0,0,6
Rodada 33,"0,429","0,571","0,857",1,"0,857",,Rodada 33,0,1,1,0,0,0,1,1,0,0,4
Rodada 34,"0,556","0,889","0,667","0,889","0,889",,Rodada 34,0,1,0,0,0,0,1,0,0,0,2
Rodada 35,"0,3","0,9","0,7","0,9",1,,Rodada 35,0,1,1,0,0,1,1,1,0,0,5
Rodada 36,"0,25","0,625","0,375","0,5","0,625",,Rodada 36,0,1,0,0,0,0,1,0,0,0,2
Rodada 37,"0,222","0,667","0,889","0,778","0,778",,Rodada 37,0,1,0,0,0,0,1,0,0,0,2
Rodada 38,"0,5","0,7","0,8","0,9","0,7",,Rodada 38,0,1,0,0,0,0,1,0,0,0,2
total,"0,509","0,734","0,73","0,807","0,798",,,,,,,,,,,,,"3,8"
,,,,,,,,,,,,,,,,,,
,,,,,,,TOTAL,7,25,16,1,3,3,25,11,0,4,
,,,,,,,M?DIA,"28,00%","100,00%","64,00%","4,00%","12,00%","12,00%","100,00%","44,00%","0,00%","16,00%",
,Random Forest C/Selec,,,,,,,,,,,,,,,,,
Rodada 14,"0,7",,,,,,,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,TOTAL
Rodada 15,"0,8",,,,,,Rodada 14,0,1,0,0,1,1,0,0,0,1,4
Rodada 16,1,,,,,,Rodada 15,0,0,0,0,0,1,0,0,0,1,2
Rodada 17,1,,,,,,Rodada 16,0,1,0,0,1,0,0,0,0,0,2
Rodada 18,"0,9",,,,,,Rodada 17,1,1,0,0,0,0,0,0,0,0,2
Rodada 19,1,,,,,,Rodada 18,1,0,0,0,0,0,1,0,0,0,2
Rodada 20,"0,7",,,,,,Rodada 19,0,1,0,0,0,0,1,0,0,0,2
