,rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
,10,41.75,38.18,-2.12,175.5,85.0,45.7,43.0,2.7299999999999995,159.6,56.7,vitoria_visitante
,10,58.31,47.02,-0.5999999999999996,238.9,180.2,57.0,38.95,-0.5900000000000001,250.1,165.6,empate
,10,51.32,68.96,7.3,154.0,164.8,34.7,17.349999999999998,-6.74,118.2,56.5,vitoria_mandante
,10,61.16,34.91,-6.0600000000000005,245.4,160.29999999999998,50.92,85.67,3.54,144.0,133.9,vitoria_visitante
,10,57.55,79.0,9.12,200.2,136.7,36.24,13.5,-7.53,125.0,155.29999999999998,vitoria_mandante
,10,48.08,69.73,5.1,192.2,74.7,39.34,53.67,4.31,152.5,91.4,vitoria_mandante
,10,64.53,55.22,0.4400000000000001,305.9,124.0,55.89,31.53,-4.77,259.0,158.8,vitoria_mandante
,10,59.09,85.22,8.44,132.6,148.0,54.6,33.71,-5.36,223.7,141.5,vitoria_mandante
,10,49.25,79.64999999999999,3.67,179.1,159.0,33.84,26.51,-2.21,139.6,60.3,vitoria_mandante
,10,63.54,68.42,-5.050000000000001,212.3,252.3,58.72,44.4,-1.96,258.40000000000003,133.4,vitoria_mandante
