rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
13,43.78,38.07,-1.21,158.2,171.4,49.85,48.98,2.03,286.7,164.4,empate
13,49.96,44.18,-0.8400000000000001,226.1,163.1,55.33,32.31,-5.55,337.1,201.5,empate
13,42.51,50.51,0.06,206.0,70.39999999999999,40.01,50.73,2.77,217.7,124.2,empate
13,60.64,68.75,2.6,339.0,209.2,58.61,36.44,-3.73,394.2,187.0,vitoria_mandante
13,51.22,55.65,-5.7,247.8,207.4,60.28,38.18,-4.31,293.1,172.0,vitoria_mandante
13,43.15,82.27,8.0,166.4,118.3,30.94,28.8,-0.4899999999999998,163.5,94.7,vitoria_mandante
13,58.14,74.53,5.4,342.7,209.5,53.04,30.55,-7.89,258.2,190.3,vitoria_mandante
13,48.16,46.91,1.96,261.0,90.2,45.07,40.36,-0.4600000000000002,120.2,164.8,empate
13,49.27,18.76,-8.21,254.1,150.3,49.61,71.8,5.16,221.7,221.7,vitoria_visitante
13,69.51,101.58,14.2,274.7,293.6,53.63,32.4,-4.13,305.0,200.5,vitoria_mandante
14,42.52,26.73,-2.38,190.5,172.5,61.98,51.07,1.3,364.5,209.7,vitoria_visitante
14,55.92,103.22,9.6,289.90000000000003,229.5,52.78,48.65,-1.39,257.7,240.2,vitoria_mandante
14,56.92,87.29,6.76,299.4,162.79999999999998,47.58,38.29,-0.7900000000000001,265.7,162.29999999999998,vitoria_mandante
14,40.63,58.04,-2.63,203.1,106.7,68.52,57.71,-5.69,288.4,321.0,empate
14,60.82,84.13,6.34,438.1,219.3,54.69,35.78,-2.13,281.6,184.2,vitoria_mandante
14,54.89,60.67,3.61,309.8,190.4,48.75,53.35,2.6800000000000006,277.8,155.39999999999998,vitoria_mandante
14,36.15,37.96,-1.4400000000000002,181.6,98.7,50.24,40.47,-2.28,146.6,197.4,empate
14,44.87,37.75,-4.33,248.6,222.8,56.63,54.45,-3.43,335.2,211.2,vitoria_visitante
14,51.4,66.35,3.0700000000000003,335.90000000000003,165.2,38.14,36.9,-2.02,252.5,136.9,vitoria_mandante
14,53.65,41.24,-4.79,334.3,91.1,62.92,76.71,0.2999999999999999,415.5,239.4,vitoria_visitante
