rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
9,53.89,48.25,-0.0500000000000001,207.5,113.0,40.66,38.73,0.7999999999999998,120.2,86.69999999999999,vitoria_mandante
9,39.05,68.85,4.38,152.5,74.19999999999999,54.58,37.53,-3.41,114.9,99.2,vitoria_mandante
9,47.77,67.64,2.91,175.8,130.0,64.35,53.49,-1.93,217.0,147.1,empate
9,60.94,28.96,-9.6,236.8,160.79999999999998,53.42,32.18,-7.609999999999999,224.6,92.6,empate
9,38.620000000000005,102.67,14.07,115.1,71.8,45.32,9.27,-6.81,130.9,124.1,vitoria_mandante
9,46.2,39.38,-0.2400000000000002,140.2,70.5,58.2,62.620000000000005,-0.7,227.3,149.1,empate
9,37.52,33.49,-1.0099999999999998,106.5,53.2,55.71,51.84,-4.95,212.7,163.29999999999998,vitoria_mandante
9,48.77,83.89,9.95,163.2,141.89999999999998,44.02,54.44,3.0900000000000003,113.3,134.2,empate
9,44.53,30.130000000000003,-3.91,192.2,63.6,43.78,58.27,5.6000000000000005,131.4,78.7,vitoria_visitante
9,45.67,21.93,-8.219999999999999,186.0,78.5,73.46,121.22,7.33,209.5,260.7,vitoria_visitante
